DATE,OPEN,HIGH,LOW,CLOSE,ADJUSTED_CLOSE,VOLUME,MARKET_CAP
11/9/2017,308.644989,329.451996,307.056,320.884003,320.884003,893249984,"$30,685,584,327 "
11/10/2017,320.67099,324.717987,294.541992,299.252991,299.252991,885985984,"$28,623,188,738 "
11/11/2017,298.585999,319.453003,298.191986,314.681,314.681,842300992,"$30,105,285,828 "
11/12/2017,314.690002,319.153015,298.513,307.90799,307.90799,1613479936,"$29,463,540,579 "
11/13/2017,307.024994,328.415009,307.024994,316.716003,316.716003,1041889984,"$30,312,834,756 "
11/14/2017,316.763,340.177002,316.763,337.631012,337.631012,1069680000,"$32,321,383,639 "
11/15/2017,337.963989,340.911987,329.812988,333.356995,333.356995,722665984,"$31,919,060,540 "
11/16/2017,333.442993,336.158997,323.605988,330.924011,330.924011,797254016,"$31,692,795,453 "
11/17/2017,330.166992,334.963989,327.52301,332.394012,332.394012,621732992,"$31,840,349,187 "
11/18/2017,331.980011,349.615997,327.687012,347.612,347.612,649638976,"$33,305,160,559 "
11/19/2017,347.401001,371.290985,344.73999,354.385986,354.385986,1181529984,"$33,961,430,090 "
11/20/2017,354.093994,372.136993,353.289001,366.730011,366.730011,807027008,"$35,151,847,933 "
11/21/2017,367.442993,372.470001,350.692993,360.401001,360.401001,949912000,"$34,552,559,750 "
11/22/2017,360.312012,381.420013,360.147003,380.652008,380.652008,800819008,"$36,501,878,925 "
11/23/2017,381.438995,425.548004,376.088013,410.165985,410.165985,1845680000,"$39,340,408,036 "
11/24/2017,412.501007,480.972992,402.757996,474.911011,474.911011,2292829952,"$45,560,021,462 "
11/25/2017,475.675995,485.191986,461.053009,466.276001,466.276001,1422080000,"$44,741,093,552 "
11/26/2017,465.973999,472.722992,451.605988,471.329987,471.329987,1197779968,"$45,235,644,662 "
11/27/2017,471.531006,493.404999,468.484985,480.355011,480.355011,1396480000,"$46,111,561,438 "
11/28/2017,480.518005,482.480011,466.346985,472.902008,472.902008,1346499968,"$45,405,717,909 "
11/29/2017,473.281006,522.307007,425.071014,427.52301,427.52301,2675940096,"$41,057,383,009 "
11/30/2017,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,"$42,947,937,239 "
12/1/2017,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936,"$44,823,457,369 "
12/2/2017,466.851013,476.239014,456.653015,463.449005,463.449005,943649984,"$44,535,863,933 "
12/3/2017,463.704987,482.813995,451.85199,465.852997,465.852997,990556992,"$44,776,362,724 "
12/4/2017,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016,"$45,204,145,125 "
12/5/2017,470.294006,473.558014,457.660004,463.281006,463.281006,1216720000,"$44,548,159,326 "
12/6/2017,462.604004,462.708008,420.209991,428.588013,428.588013,1998259968,"$41,220,997,942 "
12/7/2017,426.368988,441.397003,414.411011,434.40799,434.40799,2129570048,"$41,789,848,007 "
12/8/2017,434.989014,466.062012,422.367004,456.031006,456.031006,2336379904,"$43,879,256,076 "
12/9/2017,457.343994,504.147003,456.252991,473.502014,473.502014,2003849984,"$45,570,080,683 "
12/10/2017,472.789001,472.789001,429.514008,441.721008,441.721008,1404179968,"$42,520,479,602 "
12/11/2017,440.358002,516.968994,439.104004,515.135986,515.135986,1771440000,"$49,597,927,198 "
12/12/2017,522.286011,657.317993,504.493988,651.43103,651.43103,5179829760,"$62,733,982,232 "
12/13/2017,644.906006,747.992981,597.797974,702.767029,702.767029,4524539904,"$67,692,231,422 "
12/14/2017,700.593994,753.120972,664.989014,695.815979,695.815979,3821580032,"$67,036,917,107 "
12/15/2017,696.375977,697.132019,621.060974,684.447998,684.447998,2758710016,"$65,956,174,321 "
12/16/2017,686.192017,718.38501,680.786011,696.208984,696.208984,2165690112,"$67,103,695,920 "
12/17/2017,696.237,735.825012,696.237,719.974976,719.974976,2147389952,"$69,409,025,338 "
12/18/2017,721.731995,803.927979,689.231018,794.64502,794.64502,3249230080,"$76,623,897,492 "
12/19/2017,793.901001,881.94397,785.34198,826.822998,826.822998,4096549888,"$79,743,740,362 "
12/20/2017,827.515991,845.062012,756.004028,819.085999,819.085999,3969939968,"$79,014,430,828 "
12/21/2017,820.236023,880.54303,792.689026,821.062988,821.062988,3569060096,"$79,221,896,341 "
12/22/2017,822.643005,827.682983,543.762024,674.859985,674.859985,4977710080,"$65,129,109,277 "
12/23/2017,681.315979,763.89502,679.731018,719.387024,719.387024,2480339968,"$69,441,297,649 "
12/24/2017,721.768982,721.768982,614.921997,694.14801,694.14801,2300549888,"$67,019,237,420 "
12/25/2017,698.869995,782.520996,698.869995,765.833984,765.833984,2491760128,"$73,955,757,349 "
12/26/2017,763.369995,786.789978,760.934998,773.835999,773.835999,2201159936,"$74,744,613,931 "
12/27/2017,774.969971,789.252991,738.413025,762.84198,762.84198,2100029952,"$73,698,377,070 "
12/28/2017,762.208008,763.31897,701.187012,737.02301,737.02301,2389149952,"$71,219,054,808 "
12/29/2017,740.388977,770.117004,729.607971,753.59198,753.59198,2648969984,"$72,835,328,712 "
12/30/2017,753.815002,753.815002,685.231018,717.257019,717.257019,3187780096,"$69,338,470,696 "
12/31/2017,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952,"$73,170,170,967 "
1/1/2018,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128,"$74,724,233,458 "
1/2/2018,772.346008,914.830017,772.346008,884.44397,884.44397,5783349760,"$85,552,984,077 "
1/3/2018,886,974.471008,868.450989,962.719971,962.719971,5093159936,"$93,146,829,617 "
1/4/2018,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776,"$94,924,308,783 "
1/5/2018,975.75,1075.390015,956.325012,997.719971,997.719971,6683149824,"$96,574,936,368 "
1/6/2018,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776,"$100,852,102,738 "
1/7/2018,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064,"$111,670,667,774 "
